Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.06
Mean relative error: 1.86%
Mean accuracy ratio: 98.14%

Smallest counter value: 1581
Largest counter value: 1866

Mean counter value: 1723.511
Mean absolute deviation: 32.071802
Standard deviation: 40.05403698754971
Maximum deviation: 142.51099999999997
Variance: 1604.325879

Mean Counter Values per Word:
Word : Counter Value : Expected Value
gado            : 0.48          : 0.50
esperava        : 0.48          : 0.50
vêem            : 0.48          : 0.50
justo           : 0.48          : 0.50
mandado         : 0.48          : 0.50
lisboa          : 0.48          : 0.50
alegremente     : 0.48          : 0.50
malabar         : 0.48          : 0.50
soberana        : 0.48          : 0.50
sai             : 0.48          : 0.50
valia           : 0.48          : 0.50
mortes          : 0.48          : 0.50
bruta           : 0.48          : 0.50
daqueles        : 0.47          : 0.50
meta            : 0.47          : 0.44
bandeira        : 0.47          : 0.50
achamos         : 0.47          : 0.44
viagem          : 0.47          : 0.44
asas            : 0.47          : 0.50
rosas           : 0.47          : 0.44
cristal         : 0.47          : 0.50
mostrava        : 0.47          : 0.50
faça            : 0.47          : 0.50
costas          : 0.47          : 0.44
pesa            : 0.47          : 0.44
muda            : 0.47          : 0.44
contenta        : 0.47          : 0.44
cuida           : 0.46          : 0.50
metal           : 0.46          : 0.44
justiça         : 0.46          : 0.50
vencidos        : 0.46          : 0.50
cabeças         : 0.46          : 0.44
irmão           : 0.46          : 0.44
luzente         : 0.46          : 0.44
navegando       : 0.46          : 0.44
ditoso          : 0.46          : 0.44
mombaça         : 0.46          : 0.44
nefando         : 0.46          : 0.44
destarte        : 0.45          : 0.44
musas           : 0.45          : 0.44
costume         : 0.45          : 0.44
sombra          : 0.45          : 0.44
passando        : 0.45          : 0.44
filhas          : 0.45          : 0.50
fresca          : 0.45          : 0.44
matéria         : 0.45          : 0.44
erro            : 0.45          : 0.44
batalhas        : 0.45          : 0.44
coroa           : 0.45          : 0.44
tornou          : 0.45          : 0.50
rompendo        : 0.45          : 0.44
fugindo         : 0.45          : 0.44
malícia         : 0.45          : 0.44
passaram        : 0.45          : 0.44
noutra          : 0.45          : 0.44
tornando        : 0.45          : 0.44
tethys          : 0.45          : 0.44
vestidos        : 0.45          : 0.44
flamas          : 0.45          : 0.44
cantava         : 0.45          : 0.44
nuvens          : 0.45          : 0.44
aceso           : 0.45          : 0.44
grave           : 0.45          : 0.44
segredos        : 0.45          : 0.44
movimento       : 0.44          : 0.44
direi           : 0.44          : 0.44
chão            : 0.44          : 0.44
maravilha       : 0.44          : 0.44
bóreas          : 0.44          : 0.44
carro           : 0.44          : 0.44
entranhas       : 0.44          : 0.44
arábia          : 0.44          : 0.44
aço             : 0.44          : 0.44
batel           : 0.44          : 0.44
pequenos        : 0.44          : 0.44
nação           : 0.44          : 0.44
bordo           : 0.44          : 0.44
tinham          : 0.44          : 0.44
mauro           : 0.44          : 0.44
diferentes      : 0.44          : 0.44
entrando        : 0.44          : 0.44
singulares      : 0.44          : 0.44
enseada         : 0.44          : 0.44
derrama         : 0.44          : 0.44
deixou          : 0.44          : 0.44
negros          : 0.44          : 0.44
propósito       : 0.44          : 0.44
salta           : 0.44          : 0.44
neptuno         : 0.44          : 0.44
real            : 0.44          : 0.44
feio            : 0.44          : 0.44
belo            : 0.43          : 0.44
noto            : 0.43          : 0.44
tento           : 0.43          : 0.44
pedra           : 0.43          : 0.44
morre           : 0.43          : 0.44
barra           : 0.43          : 0.44
bruto           : 0.43          : 0.44
duque           : 0.43          : 0.44
parecia         : 0.43          : 0.44
mi              : 0.43          : 0.44
ingente         : 0.43          : 0.44
nuvem           : 0.43          : 0.44
história        : 0.43          : 0.44
desce           : 0.43          : 0.44
rumor           : 0.43          : 0.44
mau             : 0.43          : 0.44
neve            : 0.43          : 0.44
lenho           : 0.43          : 0.44
ledos           : 0.43          : 0.44
cometer         : 0.43          : 0.44
fios            : 0.42          : 0.38
passos          : 0.42          : 0.44
necessidade     : 0.42          : 0.44
sossegado       : 0.42          : 0.44
imagina         : 0.42          : 0.44
cilada          : 0.42          : 0.44
pergunta        : 0.42          : 0.44
corta           : 0.42          : 0.44
pensamentos     : 0.42          : 0.44
