Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 62.375
Mean relative error: 3.62%
Mean accuracy ratio: 96.38%

Smallest counter value: 1662
Largest counter value: 1662

Mean counter value: 1662.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
ramoso          : 1.00          : 0.06
mole            : 1.00          : 0.19
sair            : 1.00          : 0.56
justiça         : 1.00          : 0.50
vimos           : 1.00          : 0.31
passando        : 1.00          : 0.44
usança          : 1.00          : 0.50
esclarecido     : 1.00          : 0.12
servir          : 1.00          : 0.31
vassalos        : 1.00          : 0.31
membros         : 1.00          : 0.56
ofício          : 1.00          : 0.50
desobedeça      : 1.00          : 0.06
obediência      : 1.00          : 0.31
lho             : 1.00          : 0.38
dias            : 1.00          : 0.69
embaixada       : 1.00          : 0.19
batel           : 1.00          : 0.44
imitando        : 1.00          : 0.31
feriam          : 1.00          : 0.12
instrumentos    : 1.00          : 0.25
tangiam         : 1.00          : 0.12
estoura         : 1.00          : 0.06
trazendo        : 1.00          : 0.38
sombras         : 1.00          : 0.38
praias          : 1.00          : 0.75
púrpura         : 1.00          : 0.06
ricos           : 1.00          : 0.25
tíria           : 1.00          : 0.06
lavrada         : 1.00          : 0.06
ofenda          : 1.00          : 0.06
queime          : 1.00          : 0.06
lustrosa        : 1.00          : 0.12
hispano         : 1.00          : 0.25
adriática       : 1.00          : 0.06
veneza          : 1.00          : 0.12
calças          : 1.00          : 0.06
ajunta          : 1.00          : 0.69
tinta           : 1.00          : 0.25
múrice          : 1.00          : 0.06
notava          : 1.00          : 0.12
ânimos          : 1.00          : 0.25
fumo            : 1.00          : 0.19
brados          : 1.00          : 0.19
respondia       : 1.00          : 0.25
profundo        : 1.00          : 1.12
eolo            : 1.00          : 0.25
jocundo         : 1.00          : 0.12
pasmava         : 1.00          : 0.06
vagar           : 1.00          : 0.12
vizinhos        : 1.00          : 0.25
freios          : 1.00          : 0.12
jazem           : 1.00          : 0.19
ouvir           : 1.00          : 0.50
resplandece     : 1.00          : 0.19
soberbos        : 1.00          : 0.38
vã              : 1.00          : 0.50
pirítoo         : 1.00          : 0.06
subtil          : 1.00          : 0.50
calíope         : 1.00          : 0.19
ensina          : 1.00          : 0.31
desejas         : 1.00          : 0.19
sanguinosa      : 1.00          : 0.06
triunfante      : 1.00          : 0.19
fontes          : 1.00          : 0.44
nomeia          : 1.00          : 0.38
inculta         : 1.00          : 0.12
itália          : 1.00          : 0.25
alemanha        : 1.00          : 0.19
hele            : 1.00          : 0.12
juízos          : 1.00          : 0.31
dálmatas        : 1.00          : 0.06
neptunino       : 1.00          : 0.06
pátrio          : 1.00          : 0.31
bélica          : 1.00          : 0.31
gália           : 1.00          : 0.12
restituidor     : 1.00          : 0.06
castela         : 1.00          : 1.00
mauritano       : 1.00          : 0.25
lisa            : 1.00          : 0.12
pastor          : 1.00          : 0.31
roma            : 1.00          : 0.62
herculano       : 1.00          : 0.06
iguais          : 1.00          : 0.12
portugal        : 1.00          : 0.69
sojugada        : 1.00          : 0.25
estremado       : 1.00          : 0.06
avô             : 1.00          : 0.12
intestina       : 1.00          : 0.06
cobiça          : 1.00          : 0.62
prometendo      : 1.00          : 0.25
moço            : 1.00          : 0.88
palavra         : 1.00          : 0.19
oferecido       : 1.00          : 0.25
vês             : 1.00          : 2.38
cepo            : 1.00          : 0.06
garganta        : 1.00          : 0.12
cem             : 1.00          : 0.19
infiéis         : 1.00          : 0.38
rábido          : 1.00          : 0.06
forçoso         : 1.00          : 0.19
campos          : 1.00          : 1.25
assoprando      : 1.00          : 0.12
vêem            : 1.00          : 0.50
animais         : 1.00          : 0.81
ferindo         : 1.00          : 0.19
arnês           : 1.00          : 0.19
desfaz          : 1.00          : 0.19
perde           : 1.00          : 0.38
desparzido      : 1.00          : 0.06
fiei            : 1.00          : 0.06
pinta           : 1.00          : 0.31
amedrontados    : 1.00          : 0.06
murmurando      : 1.00          : 0.25
dom             : 1.00          : 1.00
ceres           : 1.00          : 0.25
socorrê         : 1.00          : 0.12
descuidado      : 1.00          : 0.19
inúmeros        : 1.00          : 0.06
sentindo        : 1.00          : 0.06
cego            : 1.00          : 0.56
mostrado        : 1.00          : 0.19
cavalo          : 1.00          : 0.44
castigo         : 1.00          : 0.69
justa           : 1.00          : 0.62
linha           : 1.00          : 0.19
cilícios        : 1.00          : 0.06
derrama         : 1.00          : 0.44
monte           : 1.00          : 1.12
soberbamente    : 1.00          : 0.06
levasse         : 1.00          : 0.12
